Founder_Type,Economic_Climate,Founder_Age,Founder_Experience_Years,Industry,Funding_Stage,Work_Mode,Team_Size,Startup_Age_Months,Weekly_Work_Hours,Sleep_Hours,Exercise_Days_Per_Week,Vacation_Days_Taken,Investor_Pressure_Score,Cofounder_Conflict_Score,Stress_Score,Decision_Fatigue_Score,Burnout_Score,Burnout_Level,Founder_Burnout_Flag,Monthly_Revenue_Growth_Percent,Runway_Months_Remaining,Product_Market_Fit_Score,Employee_Turnover_Percent,Work_Life_Balance_Score,Seeks_Mental_Health_Support,Shutdown_Probability,Shutdown_Risk,Startup_Failure_Flag
Burned-Out Operator,Stable Economy,42,6,EdTech,Series A,Remote,76,137,74.3,3.8,3.6,5.6,8.9,5.3,10.0,9.3,8.5,Severe,1,24.7,2.9,7.2,62.2,1.2,Yes,0.779,High,1
Serial Entrepreneur,Funding Winter,37,4,E-commerce,Pre-Seed,Office,6,30,62.0,4.8,4.0,19.9,5.5,3.5,5.9,3.8,2.4,Low,0,-6.0,1.0,5.5,28.0,9.4,No,0.773,High,1
Technical Builder,Recession,34,3,ClimateTech,Series A,Hybrid,40,51,66.2,6.7,4.0,11.4,6.3,5.0,5.4,2.9,2.8,Low,0,9.0,7.1,4.4,15.8,6.6,No,0.38,Medium,0
Growth Obsessed Founder,Funding Winter,41,2,EdTech,Series C,Remote,320,82,54.2,4.1,5.3,0.0,10.0,9.7,7.9,3.2,6.2,Moderate,0,7.0,18.4,4.5,67.5,5.1,Yes,0.864,High,1
Technical Builder,Funding Winter,35,2,HealthTech,Series B,Remote,216,11,59.8,7.0,4.2,17.8,5.8,3.1,4.4,4.2,1.0,Low,0,-22.8,12.9,3.2,18.6,10.0,No,0.489,Medium,0
Solo Hustler,Stable Economy,37,2,EdTech,Seed,Office,18,41,51.7,7.4,5.4,11.1,4.9,0.2,1.0,1.0,1.5,Low,0,3.3,1.0,4.3,28.6,10.0,No,0.302,Low,0
Calm Operator,Stable Economy,36,4,EdTech,Pre-Seed,Remote,4,56,56.8,6.3,4.0,12.6,5.1,1.0,1.2,1.8,1.0,Low,0,-0.1,20.3,9.8,8.7,9.7,No,0.02,Low,0
Burned-Out Operator,Funding Winter,28,0,SaaS,Bootstrapped,Remote,3,82,55.0,4.5,2.7,2.9,4.9,5.5,6.1,6.9,6.1,Moderate,0,-0.4,16.8,2.0,50.3,3.4,No,0.849,High,1
Serial Entrepreneur,Funding Winter,44,9,SaaS,Series A,Hybrid,74,111,66.9,5.3,3.7,1.4,7.1,1.9,5.7,2.8,2.4,Low,0,32.6,15.8,10.0,21.4,7.3,Yes,0.096,Low,0
Calm Operator,Stable Economy,31,1,HealthTech,Bootstrapped,Remote,6,82,62.7,5.6,4.5,16.9,5.7,0.9,3.4,1.9,1.0,Low,0,-2.8,2.9,4.5,12.7,8.9,No,0.104,Low,0
Serial Entrepreneur,Funding Winter,38,3,SaaS,Seed,Hybrid,23,120,53.6,6.7,4.4,16.9,8.0,0.0,1.7,2.4,1.9,Low,0,-4.5,16.3,4.8,22.7,9.2,No,0.052,Low,0
Growth Obsessed Founder,Funding Winter,41,3,AI,Seed,Remote,18,83,55.0,6.5,3.5,12.3,5.6,4.0,4.1,2.8,2.0,Low,0,25.2,24.4,3.6,23.5,9.9,No,0.091,Low,0
Technical Builder,Bull Market,36,3,E-commerce,Bootstrapped,Hybrid,7,99,59.7,6.4,4.3,15.8,2.4,2.9,1.4,4.3,1.0,Low,0,5.8,21.4,10.0,37.8,10.0,No,0.011,Low,0
Technical Builder,Bull Market,32,3,EdTech,Bootstrapped,Hybrid,2,8,77.4,4.8,3.8,4.1,4.4,4.4,9.6,6.5,4.8,Moderate,0,37.7,27.5,5.2,32.6,4.6,Yes,0.044,Low,0
Technical Builder,Stable Economy,25,1,E-commerce,Seed,Remote,24,26,64.8,6.9,3.5,17.9,6.8,1.5,3.4,3.1,3.3,Low,0,21.5,10.1,5.1,20.7,8.1,No,0.269,Low,0
Calm Operator,Stable Economy,29,1,EdTech,Pre-Seed,Remote,13,18,54.5,6.4,3.2,14.3,5.5,1.7,4.4,1.4,1.0,Low,0,6.7,11.8,3.9,24.7,8.7,Yes,0.364,Medium,0
Technical Builder,Stable Economy,28,2,AI,Seed,Hybrid,13,63,41.6,7.1,5.0,7.5,2.3,7.8,2.3,4.7,1.0,Low,0,-3.2,19.3,7.6,43.6,10.0,No,0.288,Low,0
Solo Hustler,Bull Market,31,1,E-commerce,Series A,Remote,52,128,56.7,5.4,6.5,3.6,4.8,2.7,3.3,6.9,6.7,Severe,1,-4.1,12.3,4.9,39.5,2.9,No,0.466,Medium,0
Chaotic Innovator,Recession,29,3,ClimateTech,Bootstrapped,Hybrid,1,128,75.5,5.4,3.7,6.6,3.8,5.8,7.1,5.7,5.0,Moderate,0,-2.9,7.5,2.8,47.7,4.0,No,0.848,High,1
Technical Builder,Stable Economy,26,1,SaaS,Seed,Hybrid,23,72,83.6,6.9,4.1,6.3,4.8,3.7,3.7,4.3,2.7,Low,0,0.2,19.3,4.4,29.4,7.9,No,0.127,Low,0
Calm Operator,Recession,28,1,FinTech,Series A,Remote,89,79,39.6,7.1,6.5,22.4,7.0,0.0,1.0,1.3,1.0,Low,0,24.0,14.8,8.3,17.7,10.0,No,0.116,Low,0
Serial Entrepreneur,Stable Economy,30,5,E-commerce,Series A,Remote,67,105,81.6,3.9,2.4,10.6,3.9,2.6,5.0,1.6,3.3,Low,0,2.2,17.8,8.3,24.3,5.4,No,0.057,Low,0
Growth Obsessed Founder,Stable Economy,32,3,HealthTech,Pre-Seed,Remote,11,89,60.9,6.8,4.1,12.4,3.7,4.7,2.8,4.1,1.0,Low,0,33.8,10.9,3.6,21.6,10.0,No,0.308,Low,0
Serial Entrepreneur,Bull Market,34,5,AI,Pre-Seed,Office,5,48,48.8,6.2,4.5,16.3,3.2,3.7,1.9,2.8,1.0,Low,0,-1.9,7.2,2.5,15.4,9.9,Yes,0.192,Low,0
Burned-Out Operator,Stable Economy,21,0,AI,Bootstrapped,Remote,5,93,69.0,5.1,3.7,17.3,4.3,5.8,6.8,4.9,5.6,Moderate,0,0.1,10.3,1.5,46.1,3.4,Yes,0.869,High,1
Growth Obsessed Founder,Funding Winter,41,5,ClimateTech,Bootstrapped,Hybrid,3,71,89.9,3.7,0.5,0.0,6.4,7.6,10.0,10.0,10.0,Severe,1,-28.1,13.4,1.8,63.5,1.0,No,0.934,High,1
Serial Entrepreneur,Recession,46,7,E-commerce,Series A,Hybrid,61,95,54.7,5.6,4.4,8.5,7.1,4.5,4.2,5.2,1.8,Low,0,9.2,8.6,7.9,16.3,9.2,No,0.689,High,1
Burned-Out Operator,Recession,41,3,HealthTech,Seed,Hybrid,23,137,70.7,5.5,4.4,0.0,7.1,8.3,7.5,7.2,6.7,Severe,1,16.8,2.7,3.0,65.1,2.1,No,0.957,High,1
Technical Builder,Stable Economy,33,0,E-commerce,Seed,Hybrid,29,8,85.8,5.8,1.7,6.1,2.6,6.5,8.7,6.0,5.3,Moderate,0,-7.1,6.0,1.9,45.4,3.8,Yes,0.896,High,1
Solo Hustler,Bull Market,36,3,E-commerce,Seed,Remote,20,58,73.4,5.3,3.1,0.0,8.1,5.2,6.5,5.1,3.8,Moderate,0,46.2,19.2,6.3,25.8,6.1,No,0.212,Low,0
Technical Builder,Stable Economy,29,2,AI,Seed,Remote,5,80,63.0,5.6,3.5,16.4,9.3,1.7,4.5,3.5,1.9,Low,0,24.1,15.9,6.6,35.0,8.3,No,0.141,Low,0
Solo Hustler,Stable Economy,30,5,E-commerce,Bootstrapped,Hybrid,4,7,80.0,5.8,3.7,16.6,4.1,3.0,5.4,1.0,2.6,Low,0,2.5,10.1,5.5,22.3,7.5,No,0.2,Low,0
Visionary CEO,Funding Winter,38,2,SaaS,Pre-Seed,Remote,12,117,52.9,6.5,3.3,0.8,5.0,0.4,1.8,2.3,1.8,Low,0,-2.4,12.2,3.1,21.0,9.0,No,0.406,Medium,0
Solo Hustler,Stable Economy,30,1,EdTech,Pre-Seed,Remote,11,98,64.1,6.2,3.3,1.5,6.7,0.6,3.2,3.2,2.2,Low,0,12.3,11.1,3.1,33.3,8.9,No,0.138,Low,0
Serial Entrepreneur,Bull Market,39,7,EdTech,Pre-Seed,Remote,12,6,46.0,5.2,5.7,2.3,7.3,0.2,2.2,1.6,1.0,Low,0,21.0,19.9,10.0,27.4,9.3,No,0.019,Low,0
Technical Builder,Bull Market,39,0,HealthTech,Seed,Hybrid,20,87,64.9,6.8,2.9,4.6,8.7,3.9,6.0,3.9,3.7,Moderate,0,-12.0,7.1,6.7,37.0,6.5,No,0.335,Low,0
Visionary CEO,Stable Economy,28,5,SaaS,Bootstrapped,Office,6,13,79.6,3.1,2.6,11.1,4.1,7.7,9.2,6.0,6.4,Moderate,0,13.0,13.3,8.8,57.4,3.7,No,0.635,Medium,0
Chaotic Innovator,Bull Market,33,4,FinTech,Bootstrapped,Hybrid,4,43,74.9,6.1,3.9,11.1,1.9,7.4,4.4,4.7,2.9,Low,0,30.8,20.3,6.8,37.9,8.4,No,0.358,Medium,0
Chaotic Innovator,Recession,35,2,ClimateTech,Pre-Seed,Hybrid,2,78,79.2,5.3,2.9,5.4,7.0,9.5,7.1,7.5,6.6,Severe,1,3.9,11.3,3.8,62.0,2.7,No,0.959,High,1
Burned-Out Operator,Bull Market,26,0,SaaS,Seed,Remote,29,135,60.9,4.0,2.1,9.9,8.2,6.5,7.5,6.1,7.2,Severe,1,10.6,18.8,6.0,48.9,2.9,No,0.826,High,1
Solo Hustler,Recession,39,1,FinTech,Series A,Remote,39,90,63.8,6.3,3.3,14.5,10.0,4.7,5.6,5.8,4.9,Moderate,0,-5.5,15.3,3.0,45.2,6.1,Yes,0.718,High,1
Solo Hustler,Stable Economy,30,0,E-commerce,Series B,Hybrid,203,23,56.0,7.1,5.5,6.7,9.1,5.5,6.7,6.3,4.4,Moderate,0,-7.2,21.3,3.4,43.2,7.6,No,0.13,Low,0
Solo Hustler,Stable Economy,47,9,EdTech,Seed,Remote,24,55,67.0,6.5,3.3,3.8,5.2,5.7,5.7,5.2,1.1,Low,0,0.3,10.8,8.5,36.7,9.6,No,0.088,Low,0
Burned-Out Operator,Stable Economy,29,3,Biotech,Series C,Hybrid,588,16,59.6,6.4,4.1,11.8,8.5,0.1,3.9,4.5,3.7,Moderate,0,-22.8,18.1,2.9,13.2,8.1,Yes,0.066,Low,0
Technical Builder,Stable Economy,21,1,SaaS,Series A,Hybrid,75,125,53.4,6.7,5.1,5.7,9.5,3.3,5.9,3.5,4.2,Moderate,0,-6.9,24.8,5.7,47.7,7.3,Yes,0.128,Low,0
Technical Builder,Bull Market,37,2,E-commerce,Pre-Seed,Hybrid,9,105,70.6,6.0,2.9,1.0,2.8,3.1,3.7,2.2,2.7,Low,0,15.6,19.2,5.7,37.2,7.2,No,0.067,Low,0
Growth Obsessed Founder,Stable Economy,34,3,FinTech,Series A,Hybrid,40,21,73.0,5.4,3.5,0.7,4.6,9.1,10.0,8.5,5.0,Moderate,0,-0.9,12.6,5.2,51.9,3.4,No,0.398,Medium,0
Solo Hustler,Funding Winter,36,0,FinTech,Seed,Remote,21,61,75.6,3.2,2.3,0.0,5.1,3.5,8.3,8.3,5.6,Moderate,0,16.8,2.8,10.0,56.0,2.8,Yes,0.579,Medium,0
Solo Hustler,Stable Economy,35,3,ClimateTech,Pre-Seed,Office,5,80,67.5,4.8,1.1,20.1,4.6,6.3,5.8,1.5,1.2,Low,0,-19.9,14.3,5.5,42.9,8.8,Yes,0.132,Low,0
Technical Builder,Bull Market,29,0,AI,Series A,Remote,69,79,49.2,6.3,4.5,10.6,6.9,2.1,4.4,5.4,5.2,Moderate,0,41.4,9.1,8.2,30.6,7.3,No,0.403,Medium,0
Technical Builder,Stable Economy,37,1,EdTech,Bootstrapped,Remote,4,137,55.6,7.4,5.7,14.9,5.5,2.1,2.2,1.1,1.1,Low,0,13.3,7.7,6.2,16.7,9.0,No,0.197,Low,0
Chaotic Innovator,Bull Market,30,0,E-commerce,Bootstrapped,Remote,1,27,77.4,6.6,3.3,8.0,8.3,4.4,6.9,5.8,5.8,Moderate,0,42.8,2.4,3.9,48.6,4.5,No,0.705,High,1
Growth Obsessed Founder,Bull Market,32,1,Cybersecurity,Seed,Hybrid,24,108,53.9,5.5,4.3,17.0,1.0,4.8,1.8,3.6,1.0,Low,0,15.8,15.4,6.0,22.7,9.0,Yes,0.246,Low,0
Solo Hustler,Stable Economy,27,4,Cybersecurity,Seed,Hybrid,20,8,72.2,5.9,2.6,0.0,3.3,6.0,5.9,3.0,3.4,Low,0,-4.8,2.2,3.8,46.7,6.7,No,0.782,High,1
Solo Hustler,Recession,30,1,AI,Pre-Seed,Hybrid,9,55,66.2,6.6,2.4,3.9,4.6,4.7,2.8,1.4,1.1,Low,0,6.2,5.8,6.8,11.8,10.0,No,0.585,Medium,0
Chaotic Innovator,Funding Winter,38,3,HealthTech,Series B,Hybrid,104,116,48.2,5.4,5.9,17.1,8.7,4.7,3.6,2.6,1.7,Low,0,-3.7,11.2,2.0,28.2,8.6,No,0.307,Low,0
Chaotic Innovator,Bull Market,28,3,E-commerce,Seed,Remote,26,45,77.6,5.1,2.3,14.1,7.7,5.5,8.9,8.2,5.0,Moderate,0,-6.0,1.0,6.3,48.5,5.2,No,0.698,High,1
Serial Entrepreneur,Stable Economy,36,5,FinTech,Series C,Remote,144,57,45.5,5.4,5.3,6.0,8.4,1.9,4.4,5.3,2.1,Low,0,12.4,13.5,5.1,16.4,8.5,No,0.15,Low,0
Visionary CEO,Stable Economy,32,0,HealthTech,Pre-Seed,Office,13,133,48.5,6.5,4.6,12.7,2.5,2.9,3.0,1.0,1.0,Low,0,1.7,13.3,3.4,29.2,10.0,No,0.127,Low,0
Solo Hustler,Recession,39,0,SaaS,Seed,Hybrid,8,31,83.6,4.4,1.4,0.0,8.3,3.9,7.4,3.7,4.6,Moderate,0,-0.0,7.4,5.6,42.2,4.9,No,0.575,Medium,0
Solo Hustler,Stable Economy,31,2,AI,Series B,Remote,192,62,71.4,5.7,3.4,17.3,4.6,3.8,6.6,4.7,4.0,Moderate,0,28.7,12.5,7.8,38.0,6.1,Yes,0.37,Medium,0
Solo Hustler,Funding Winter,30,3,ClimateTech,Seed,Office,23,86,72.2,5.8,2.3,0.0,5.6,6.6,8.4,6.2,5.2,Moderate,0,-4.9,7.6,6.3,48.9,5.6,Yes,0.911,High,1
Serial Entrepreneur,Stable Economy,32,3,Gaming,Series A,Hybrid,29,82,56.3,6.3,3.2,11.7,8.8,0.1,2.7,2.8,1.2,Low,0,44.1,9.0,5.6,9.8,9.3,No,0.118,Low,0
Visionary CEO,Stable Economy,40,1,EdTech,Series A,Hybrid,32,139,56.9,5.8,4.1,8.4,8.1,1.2,3.8,2.8,1.2,Low,0,25.4,13.5,9.3,9.7,7.2,No,0.068,Low,0
Technical Builder,Funding Winter,33,4,HealthTech,Seed,Office,22,13,64.9,5.9,4.5,15.3,6.7,3.3,4.0,3.4,1.0,Low,0,-4.5,14.8,5.2,24.3,6.1,Yes,0.19,Low,0
Calm Operator,Stable Economy,30,0,FinTech,Bootstrapped,Remote,1,40,37.4,7.1,5.4,8.7,5.7,0.0,1.0,1.6,1.0,Low,0,36.1,2.9,8.7,25.8,10.0,Yes,0.062,Low,0
Visionary CEO,Recession,40,0,HealthTech,Series B,Office,55,14,44.4,6.5,3.9,9.4,10.0,5.3,5.0,6.1,6.8,Severe,1,16.4,15.5,6.1,51.1,3.0,No,0.665,High,1
Solo Hustler,Funding Winter,26,1,Gaming,Seed,Hybrid,22,85,75.9,5.2,1.5,2.0,6.4,2.3,7.5,3.9,3.9,Moderate,0,-13.4,1.0,5.9,16.0,5.5,No,0.69,High,1
Growth Obsessed Founder,Recession,35,3,FinTech,Bootstrapped,Hybrid,2,88,83.3,5.2,2.0,0.1,10.0,6.8,9.5,8.9,6.6,Severe,1,-10.5,7.9,4.0,75.0,4.0,Yes,0.929,High,1
Chaotic Innovator,Stable Economy,35,1,E-commerce,Seed,Remote,16,69,51.5,5.9,3.3,12.3,3.9,5.2,5.4,5.6,1.0,Low,0,9.6,14.3,5.8,25.8,8.1,Yes,0.348,Low,0
Serial Entrepreneur,Recession,38,6,E-commerce,Series A,Remote,61,94,34.9,7.3,5.4,24.1,5.7,0.0,1.0,2.5,1.0,Low,0,-5.4,3.9,7.6,12.5,10.0,Yes,0.301,Low,0
Visionary CEO,Bull Market,27,0,E-commerce,Pre-Seed,Hybrid,4,100,59.7,6.7,2.0,17.9,2.4,1.4,2.2,1.6,1.0,Low,0,3.1,15.4,3.7,22.8,10.0,No,0.138,Low,0
Serial Entrepreneur,Recession,39,8,SaaS,Series B,Remote,148,103,66.1,4.6,3.2,8.8,9.9,3.7,6.2,6.1,4.4,Moderate,0,-18.6,13.9,5.2,49.6,4.6,Yes,0.275,Low,0
Visionary CEO,Bull Market,28,5,FinTech,Series B,Remote,128,141,62.0,6.1,2.9,19.6,6.4,2.1,4.8,1.2,1.9,Low,0,22.5,20.5,6.3,10.3,7.9,Yes,0.097,Low,0
Visionary CEO,Funding Winter,31,1,ClimateTech,Series A,Office,59,52,64.2,5.5,1.7,5.3,5.8,5.5,6.3,5.9,5.4,Moderate,0,0.3,15.1,3.3,62.0,4.7,No,0.843,High,1
Solo Hustler,Stable Economy,30,1,ClimateTech,Seed,Remote,28,102,74.8,5.3,4.4,5.4,7.1,4.6,7.1,5.8,5.3,Moderate,0,-2.2,18.1,4.1,32.3,5.5,No,0.336,Low,0
Technical Builder,Funding Winter,30,0,Cybersecurity,Pre-Seed,Hybrid,13,139,47.7,6.9,5.5,6.2,8.2,1.4,1.1,1.0,1.9,Low,0,13.7,7.4,8.3,20.3,9.9,No,0.245,Low,0
Growth Obsessed Founder,Funding Winter,39,2,AI,Series A,Hybrid,40,96,58.5,5.8,3.9,4.8,8.6,2.2,6.4,6.5,4.3,Moderate,0,10.1,3.5,3.5,22.8,7.7,Yes,0.744,High,1
Chaotic Innovator,Stable Economy,32,0,E-commerce,Pre-Seed,Hybrid,11,24,60.1,5.8,3.3,11.0,5.9,1.2,3.5,3.4,2.3,Low,0,15.6,20.3,2.2,30.1,7.3,No,0.158,Low,0
Chaotic Innovator,Stable Economy,34,3,SaaS,Seed,Hybrid,16,48,73.4,5.5,3.6,24.2,6.9,7.0,5.8,5.7,5.3,Moderate,0,17.2,1.0,8.1,48.8,4.1,No,0.445,Medium,0
Technical Builder,Funding Winter,39,1,Biotech,Series A,Remote,52,12,46.5,6.7,3.8,10.4,6.7,0.6,1.0,1.2,1.0,Low,0,25.2,17.8,7.9,9.4,10.0,Yes,0.022,Low,0
Serial Entrepreneur,Stable Economy,43,7,EdTech,Seed,Remote,6,32,40.1,5.2,4.7,8.5,3.6,0.0,1.1,1.5,1.0,Low,0,-3.3,11.8,7.4,0.0,10.0,No,0.144,Low,0
Growth Obsessed Founder,Stable Economy,28,4,EdTech,Series A,Office,47,72,70.3,5.0,4.4,11.5,6.3,8.9,7.7,5.3,4.4,Moderate,0,0.9,8.9,8.4,37.5,7.7,Yes,0.695,High,1
Calm Operator,Stable Economy,21,1,ClimateTech,Series A,Office,35,22,55.6,6.6,6.6,10.4,6.6,2.1,3.7,1.0,1.1,Low,0,-2.1,1.0,1.9,24.3,9.8,Yes,0.303,Low,0
Serial Entrepreneur,Bull Market,42,7,E-commerce,Pre-Seed,Hybrid,9,84,46.9,6.3,5.2,12.4,5.5,1.7,2.6,1.0,1.0,Low,0,15.0,7.4,8.9,0.2,10.0,No,0.019,Low,0
Growth Obsessed Founder,Bull Market,36,1,EdTech,Seed,Hybrid,19,111,65.0,5.6,2.9,7.5,1.0,5.5,4.7,1.0,1.0,Low,0,0.5,7.3,7.4,21.8,7.9,Yes,0.159,Low,0
Technical Builder,Funding Winter,27,2,SaaS,Seed,Remote,8,91,56.0,8.1,3.8,7.0,3.3,2.4,1.9,2.5,2.4,Low,0,-11.9,13.2,4.7,30.6,10.0,No,0.298,Low,0
Growth Obsessed Founder,Stable Economy,28,0,EdTech,Series A,Hybrid,27,55,64.2,6.6,4.3,9.3,5.0,4.5,6.7,5.2,4.2,Moderate,0,-7.8,14.4,6.6,48.8,6.2,No,0.206,Low,0
Calm Operator,Funding Winter,33,0,Gaming,Series A,Hybrid,39,46,66.1,6.9,6.2,25.4,7.5,4.9,1.4,3.0,1.4,Low,0,8.2,13.9,3.2,29.0,8.9,Yes,0.227,Low,0
Solo Hustler,Funding Winter,30,1,EdTech,Series A,Remote,70,73,70.5,4.2,2.2,15.8,9.9,5.2,8.3,6.6,3.2,Low,0,-4.8,6.1,1.0,34.5,6.1,No,0.887,High,1
Solo Hustler,Bull Market,24,0,Cybersecurity,Bootstrapped,Remote,7,132,97.3,4.4,3.4,11.5,1.0,6.3,8.5,7.9,4.8,Moderate,0,5.4,9.6,1.0,48.1,3.6,No,0.785,High,1
Growth Obsessed Founder,Funding Winter,34,3,Cybersecurity,Series B,Hybrid,138,25,63.0,5.8,3.4,0.0,9.5,6.3,5.5,5.8,5.5,Moderate,0,9.5,12.8,5.5,46.2,4.9,No,0.809,High,1
Chaotic Innovator,Bull Market,25,1,Cybersecurity,Seed,Hybrid,15,139,57.3,4.1,4.5,11.9,6.1,4.5,4.0,4.7,2.9,Low,0,4.1,23.1,2.9,47.9,8.0,No,0.151,Low,0
Growth Obsessed Founder,Stable Economy,38,3,FinTech,Series A,Remote,38,22,57.8,6.4,1.6,12.6,6.5,6.4,6.4,4.7,5.1,Moderate,0,23.9,13.5,9.1,33.0,5.9,No,0.302,Low,0
Technical Builder,Bull Market,33,0,AI,Series A,Remote,66,55,73.8,5.1,4.7,10.2,7.8,2.5,5.2,7.1,5.0,Moderate,0,12.8,6.7,4.1,33.4,4.5,Yes,0.577,Medium,0
Burned-Out Operator,Stable Economy,31,3,AI,Bootstrapped,Remote,7,53,91.1,4.1,0.7,13.4,5.3,5.3,8.5,8.1,8.6,Severe,1,7.0,7.5,1.0,58.3,1.0,Yes,0.845,High,1
Solo Hustler,Stable Economy,46,3,AI,Series A,Remote,41,70,65.1,6.7,4.9,16.7,5.2,4.2,2.4,1.6,2.7,Low,0,-8.1,12.5,3.7,31.9,9.0,No,0.459,Medium,0
Technical Builder,Stable Economy,40,1,AI,Seed,Remote,27,45,48.8,5.5,4.6,21.8,7.1,2.6,2.9,4.6,1.2,Low,0,15.4,15.5,6.2,21.8,10.0,No,0.031,Low,0
Growth Obsessed Founder,Stable Economy,31,2,Cybersecurity,Seed,Remote,8,12,54.6,7.2,5.1,15.8,5.1,4.2,2.3,3.4,2.4,Low,0,-20.0,15.8,2.7,49.6,8.5,No,0.17,Low,0
Technical Builder,Stable Economy,26,2,AI,Pre-Seed,Remote,13,108,54.0,5.9,2.9,8.0,10.0,4.3,5.6,2.7,1.0,Low,0,7.8,16.4,5.0,18.9,10.0,Yes,0.143,Low,0
Chaotic Innovator,Funding Winter,26,5,AI,Pre-Seed,Hybrid,13,100,52.7,7.2,4.7,13.6,7.4,7.4,1.3,1.2,1.0,Low,0,18.6,13.9,10.0,44.2,10.0,No,0.206,Low,0
Chaotic Innovator,Funding Winter,21,0,HealthTech,Series B,Hybrid,170,71,47.4,6.3,5.4,17.2,6.4,4.0,3.5,1.8,1.0,Low,0,23.4,19.9,7.8,16.7,10.0,No,0.096,Low,0
Burned-Out Operator,Funding Winter,51,5,E-commerce,Series A,Remote,54,7,42.0,4.8,3.0,5.1,7.3,4.0,4.8,8.2,6.6,Severe,1,-7.2,13.1,1.1,40.5,3.5,Yes,0.703,High,1
Serial Entrepreneur,Stable Economy,39,4,FinTech,Pre-Seed,Hybrid,12,64,72.3,5.4,3.2,4.9,6.9,7.1,6.9,5.0,5.2,Moderate,0,-3.6,18.2,1.1,61.9,3.7,No,0.258,Low,0
Technical Builder,Recession,32,2,EdTech,Pre-Seed,Remote,14,72,47.2,7.2,6.0,16.3,2.0,1.1,1.0,1.5,1.0,Low,0,0.9,7.4,9.2,16.3,10.0,Yes,0.067,Low,0
Solo Hustler,Funding Winter,31,4,AI,Pre-Seed,Hybrid,2,91,78.5,5.1,4.6,8.7,9.1,7.5,8.8,8.7,7.1,Severe,1,2.9,1.0,2.2,58.3,2.5,No,0.989,High,1
Visionary CEO,Funding Winter,35,2,SaaS,Pre-Seed,Hybrid,3,138,62.3,6.3,3.0,9.2,5.2,2.6,6.9,5.0,2.9,Low,0,-5.6,15.6,4.8,16.5,7.9,No,0.381,Medium,0
Serial Entrepreneur,Funding Winter,41,8,Gaming,Pre-Seed,Hybrid,13,72,39.2,5.8,5.8,11.9,7.4,0.4,1.3,1.0,1.0,Low,0,15.9,13.0,10.0,11.2,10.0,No,0.032,Low,0
Calm Operator,Stable Economy,32,2,Cybersecurity,Bootstrapped,Hybrid,5,125,60.4,7.5,4.6,18.3,4.5,7.7,5.3,4.8,2.5,Low,0,-8.0,8.4,4.0,49.9,7.7,No,0.689,High,1
Technical Builder,Stable Economy,32,3,E-commerce,Pre-Seed,Hybrid,8,8,57.5,6.6,4.9,0.0,6.5,6.5,5.0,4.5,3.9,Moderate,0,-3.0,13.9,5.5,48.0,6.3,No,0.164,Low,0
Calm Operator,Recession,32,4,SaaS,Seed,Hybrid,23,67,70.7,6.8,2.3,17.2,6.6,1.5,5.5,3.2,1.5,Low,0,21.7,1.0,7.9,28.1,8.0,Yes,0.354,Medium,0
Solo Hustler,Stable Economy,31,2,Gaming,Bootstrapped,Remote,3,138,78.6,4.9,3.5,3.9,6.2,6.0,5.9,6.9,4.9,Moderate,0,13.2,10.5,3.6,51.8,5.4,No,0.566,Medium,0
Burned-Out Operator,Bull Market,32,1,EdTech,Series A,Hybrid,83,4,64.4,5.4,2.4,0.0,10.0,2.5,7.6,5.4,5.2,Moderate,0,17.4,5.6,6.3,30.4,6.9,Yes,0.283,Low,0
Technical Builder,Stable Economy,44,2,E-commerce,Pre-Seed,Office,9,16,52.9,6.9,4.8,19.1,5.2,3.4,1.6,1.4,2.6,Low,0,2.4,12.0,7.5,31.0,9.1,No,0.157,Low,0
Solo Hustler,Stable Economy,42,6,AI,Pre-Seed,Remote,12,135,77.2,4.3,2.9,13.5,5.9,8.7,8.1,8.6,5.8,Moderate,0,30.1,8.5,5.5,56.1,1.4,Yes,0.918,High,1
Growth Obsessed Founder,Bull Market,21,1,Gaming,Bootstrapped,Hybrid,5,71,93.9,3.5,1.8,16.8,2.5,3.9,6.0,7.4,5.2,Moderate,0,30.4,6.7,3.6,50.8,2.7,Yes,0.354,Medium,0
Technical Builder,Stable Economy,38,0,SaaS,Seed,Hybrid,17,39,67.7,5.9,4.5,12.1,6.9,5.3,7.2,4.2,2.5,Low,0,-3.5,5.7,7.4,24.1,8.5,No,0.695,High,1
Visionary CEO,Stable Economy,32,1,FinTech,Seed,Hybrid,10,135,59.1,5.1,4.9,8.1,2.8,4.3,3.2,1.0,1.6,Low,0,7.2,1.7,9.6,48.4,9.4,No,0.278,Low,0
Chaotic Innovator,Recession,23,1,Gaming,Bootstrapped,Hybrid,5,125,64.1,5.4,5.8,14.5,7.1,4.8,6.0,3.2,1.4,Low,0,-5.8,15.1,4.2,29.3,8.7,No,0.295,Low,0
Technical Builder,Stable Economy,37,2,E-commerce,Pre-Seed,Hybrid,10,68,57.2,4.9,2.9,2.7,5.2,1.2,2.1,3.7,1.0,Low,0,-2.0,13.7,4.3,8.4,10.0,Yes,0.021,Low,0
Solo Hustler,Funding Winter,42,5,AI,Seed,Hybrid,18,84,50.9,6.9,2.8,13.3,5.9,2.7,3.5,1.4,1.0,Low,0,28.3,13.6,8.1,35.2,10.0,No,0.05,Low,0
